id	name	code	country_code	coordinates	municipality	province
1147	Rio De Miel	MIELRIO	ES		NERJA	MALAGA
1148	Rio De Moro	MORORIO	ES		NERJA	MALAGA
1149	Rio Trevelez	TREVELEZ	ES		TREVELEZ	GRANADA
1151	Puits D Eau Douce A Neriantza	NERIANTZ	GR		INCONNU	CRETE
1152	Springs And Wells Along Belareca River Between Mehadia And Toplet Cities	BELARECA	RO		PECINISCA	CARAS SEVERIN
1153	Brunnen Der Gemeinde Girlita (Dobrogea)	GARITAWE	RO		GARLITA	CONSTANTA
1154	Drava River 2 Malecnik	MALECNI2	SI		MARIBOR	MARIBOR
1155	Drava River Rosnja	ROSNJA	SI		PTUJE	DUPLEK
1156	Sava River Podgrad	PODGRAD	SI		LUBJANA	LJUBLJANA
1157	Sava River At Catez Ob Savi	CATEZSAV	SI		CATEZ OB SAVI	BREZICE
1158	Sava River At Obrezje	OBREZJE	SI		OBREZJE	BREZICE
1159	Phreatic Water Along The Sava River Near Srednje Gameljne	SREDNJE	SI		SREDNJE GAMELJNE	LJUBLJANA
1160	Hyporheic Zone And Phreatic Water Along The Sava River Near Kresnice	KRESNICE	SI		KRESNICE	LITIJA
1161	Nortonbrunnen Am Dovjet Bei Ljubljana (Sava-Uter Bei Ljubljana)	DOVJETWE	SI		LJUBLJANA	LJUBLJANA
1162	Code Station Croati01	CROATI01	HR		INCONNU	INCONNU
1163	Code Station Croati10	CROATI10	HR		INCONNU	INCONNU
1164	Dovjez	DOVJEZLJ	SI		SPODNJE GAMELJNE	LJUBLJANA
1165	Nortonbrunnen In Slovenj Gradec	GRADECSL	SI		SLOVENJ GRADEC	SLOVENJ GRADEC
1166	Ljubljana	LJUBLJA2	SI		LJUBLJANA	LJUBLJANA
1167	Ljubljansko Polje	LJUPOLJE	SI		HRASTJE PRI GROSUPLJEM	GROSUPLJE
1168	Brunnen In Petrovce Bei Celje	PETROVCE	SI		PETROVCE	SALEC
1169	Code Station Sloven53	SLOVEN53	SI		INCONNU	INCONNU
1170	Code Station Sloven54	SLOVEN54	SI		INCONNU	INCONNU
1171	Code Station Sloven55	SLOVEN55	SI		INCONNU	INCONNU
1172	Code Station Sloven61	SLOVEN61	SI		INCONNU	INCONNU
1173	Code Station Sloven62	SLOVEN62	SI		INCONNU	INCONNU
1174	Code Station Sloven63	SLOVEN63	SI		INCONNU	INCONNU
1175	Code Station Sloven64	SLOVEN64	SI		INCONNU	INCONNU
1176	Code Station Sloven65	SLOVEN65	SI		INCONNU	INCONNU
1177	Code Station Sloven66	SLOVEN66	SI		INCONNU	INCONNU
1178	Nortonbrunnen Bei Stozice Bei Ljubljana	STOZICE	SI		LJUBLJANA	LJUBLJANA
1179	Tomacevo	TOMACEVO	SI		LJUBLJANA	LJUBLJANA
1180	Nortonbrunnen In Trgovisce Bei Ptuj	TRGOVISC	SI		TRGOVISCE	ORMOZ
1181	Brunnen In Zagreb (Nach Mestrov)	ZAGREBW1	HR		ZAGREB	ZAGREB
1182	Zagreb	ZAGREBWE	HR		ZAGREB	ZAGREB
1183	Zalosce	ZALOSC1	SI		ZALOSCE	NOVA GORICA
1184	Prodisce Na Desnem Bregu Drave Sv Od Rosnje	ROSNJE	SI		ROSNJA	DUPLEK
1185	Sava River Dovjez	DOVJEZ	SI		DOVJEZ	LJUBLJANA
1188	Sava River In Dolsko (Phreatic Site)	SAVADOLK	SI		DOLSKO	DOLSKO
1192	Fonti Di Clitunno Camtello Sul Clitunno	CLITUNNO	IT		CAMTELLO SUL CLITUNNO	PERUGIA
1193	Pozzo Di Acqua Dolce (N.u. 10) Lungo La S.p. Spoleto-Bastardo	CKMAP226	IT		SAN NICOLO	UMBRIA
1194	Pozzo A San Venanzo	CKMAP227	IT		SAN VENANZO	UMBRIA
1195	Pozzo A San Venanzo. S.p. Marscianese	CKMAP228	IT		MARSCIANO	UMBRIA
1196	Pozzo (Nu 44) Casa Cantoniera In Montecastelli Umbro. Umbertide	CKMAP245	IT		MONTECASTELLI	UMBRIA
1201	Fuente Sagrero Cereceda	CERECEDA	ES		CERECEDA	BURGOS
1211	Arroyo Del Salar Salar	SALAR	ES		SALAR	GRANADA
1213	Source De Deifontes Deifontes	DEIFONTE	ES		DEIFONTES	GRANADA
1219	Manantial De Alomartes	ALOMARTE	ES		ALOMARTES	GRANADA
1220	Rio De Aquas Blancas	AQUASBLA	ES		AGUAS BLANCAS	GRANADA
1221	Rio Darro	DARRORIO	ES		GRANADA	GRANADA
1223	Nacimiento Del Rio Frio	FRIOSPRI	ES		FUENTE CAMACHO	GRANADA
1224	Rio Genil	GENILRIO	ES		CENES DE LA VEGA	GRANADA
1225	Rio De Las Jantas	JANTASRI	ES		VENTA DE ANDAR	GRANADA
