event_date	biomat_code	sampling_code
01/06/2013	PROASELLUS_SP|BODESCE_197806	BODESCE_197806
01/06/2013	PROASELLUS_SP|BODESCE1_197506	BODESCE1_197506
01/06/2013	PROASELLUS_SP|BODESCE2_197506	BODESCE2_197506
01/06/2013	PROASELLUS_SP|BODESCEP_197411	BODESCEP_197411
01/06/2013	PROASELLUS_SP|BOHINJSP_197504	BOHINJSP_197504
01/06/2013	PROASELLUS_SP|CAMILJAC_197910	CAMILJAC_197910
01/06/2013	PROASELLUS_SP|CAVLINSK_198007	CAVLINSK_198007
01/06/2013	PROASELLUS_SP|DJUDCAVE_199107	DJUDCAVE_199107
01/06/2013	PROASELLUS_SP|DOBROPOL_197609	DOBROPOL_197609
01/06/2013	PROASELLUS_SP|DRAGONJA_197109	DRAGONJA_197109
01/06/2013	PROASELLUS_SP|DUPLEKPT_197110	DUPLEKPT_197110
01/06/2013	PROASELLUS_SP|GLAVAZET_197609	GLAVAZET_197609
01/06/2013	PROASELLUS_SP|GORNJIKU_197412	GORNJIKU_197412
01/06/2013	PROASELLUS_SP|GRADICEK_197406	GRADICEK_197406
01/06/2013	PROASELLUS_SP|IDRIJCA_197406	IDRIJCA_197406
01/06/2013	PROASELLUS_SP|ISKAWELL_196908	ISKAWELL_196908
01/06/2013	PROASELLUS_SP|JELSEVNI_199012	JELSEVNI_199012
01/06/2013	PROASELLUS_SP|JEZICAPT_197307	JEZICAPT_197307
01/06/2013	PROASELLUS_SP|JOVINASP_197510	JOVINASP_197510
01/06/2013	PROASELLUS_SP|KARINSP_198611	KARINSP_198611
01/06/2013	PROASELLUS_SP|KRKACAVE_197106	KRKACAVE_197106
01/06/2013	PROASELLUS_SP|KUSICPUM_197706	KUSICPUM_197706
01/06/2013	PROASELLUS_SP|KUSIKKC_197706	KUSIKKC_197706
01/06/2013	PROASELLUS_SP|LAZEZP_197106	LAZEZP_197106
01/06/2013	PROASELLUS_SP|LIPSKACA_198807	LIPSKACA_198807
01/06/2013	PROASELLUS_SP|MAJDANCA_196910	MAJDANCA_196910
01/06/2013	PROASELLUS_SP|MALDENSP_196907	MALDENSP_196907
01/06/2013	PROASELLUS_SP|MARKAROV_198508	MARKAROV_198508
01/06/2013	PROASELLUS_SP|MORINJSP_197007	MORINJSP_197007
01/06/2013	PROASELLUS_SP|MOSCENIC_196703	MOSCENIC_196703
01/06/2013	PROASELLUS_SP|NEDELJAN_197412	NEDELJAN_197412
01/06/2013	PROASELLUS_SP|NOGUERA2_197609	NOGUERA2_197609
01/06/2013	PROASELLUS_SP|PARJEPT_197105	PARJEPT_197105
01/06/2013	PROASELLUS_SP|PODTURNS_199011	PODTURNS_199011
01/06/2013	PROASELLUS_SP|POGANJAC_197509	POGANJAC_197509
01/06/2013	PROASELLUS_SP|PONIKVAC_198807	PONIKVAC_198807
01/06/2013	PROASELLUS_SP|POTOCISP_197007	POTOCISP_197007
01/06/2013	PROASELLUS_SP|PSATASP_197105	PSATASP_197105
01/06/2013	PROASELLUS_SP|PUSCINE1_197412	PUSCINE1_197412
01/06/2013	PROASELLUS_SP|PUSCINE2_197412	PUSCINE2_197412
01/06/2013	PROASELLUS_SP|PUSCINE3_197412	PUSCINE3_197412
01/06/2013	PROASELLUS_SP|PUSCINE4_197412	PUSCINE4_197412
01/06/2013	PROASELLUS_SP|RAKOVAC_198209	RAKOVAC_198209
01/06/2013	PROASELLUS_SP|RESNIKRU_197311	RESNIKRU_197311
01/06/2013	PROASELLUS_SP|RINZASP_199111	RINZASP_199111
01/06/2013	PROASELLUS_SP|RUDNICCA_197910	RUDNICCA_197910
01/06/2013	PROASELLUS_SP|RUDNICCA_198508	RUDNICCA_198508
01/06/2013	PROASELLUS_SP|RUDNICSP_197610	RUDNICSP_197610
01/06/2013	PROASELLUS_SP|SANICESP_196911	SANICESP_196911
01/06/2013	PROASELLUS_SP|SAVAKRAN_196408	SAVAKRAN_196408
01/06/2013	PROASELLUS_SP|SAVATOMA_197808	SAVATOMA_197808
01/06/2013	PROASELLUS_SP|SAVATOMA_198106	SAVATOMA_198106
01/06/2013	PROASELLUS_SP|SAVATOMA_198306	SAVATOMA_198306
01/06/2013	PROASELLUS_SP|SIPUN_197007	SIPUN_197007
01/06/2013	PROASELLUS_SP|SJENICA_197609	SJENICA_197609
01/06/2013	PROASELLUS_SP|SMARTNO1_197509	SMARTNO1_197509
01/06/2013	PROASELLUS_SP|SOBEC181_197708	SOBEC181_197708
01/06/2013	PROASELLUS_SP|SOCERGCA_197605	SOCERGCA_197605
01/06/2013	PROASELLUS_SP|STAMBUCU_198410	STAMBUCU_198410
01/06/2013	PROASELLUS_SP|STRMOSTE_198410	STRMOSTE_198410
01/06/2013	PROASELLUS_SP|SVIBOVE1_197412	SVIBOVE1_197412
01/06/2013	PROASELLUS_SP|SVIBOVE2_197412	SVIBOVE2_197412
01/06/2013	PROASELLUS_SP|TORREPHR_196904	TORREPHR_196904
01/06/2013	PROASELLUS_SP|TRAVNIKF_196907	TRAVNIKF_196907
01/06/2013	PROASELLUS_SP|TRAVNIKS_197304	TRAVNIKS_197304
01/06/2013	PROASELLUS_SP|TREBISRI_197509	TREBISRI_197509
01/06/2013	PROASELLUS_SP|TRESONCE_197904	TRESONCE_197904
01/06/2013	PROASELLUS_SP|VARAZDIN_196910	VARAZDIN_196910
01/06/2013	PROASELLUS_SP|VRACEVGA_197706	VRACEVGA_197706
01/06/2013	PROASELLUS_SP|ZAGORSKA_198410	ZAGORSKA_198410
01/06/2013	PROASELLUS_SP|ZRMANJA_196509	ZRMANJA_196509
01/06/2013	PROASELLUS_SP|ALBARINE_200104	ALBARINE_200104
01/06/2013	PROASELLUS_SP|DROBEAUR_201205	DROBEAUR_201205
01/06/2013	PROASELLUS_SP|DRODIE_201205	DRODIE_201205
01/06/2013	PROASELLUS_SP|DROLUCDI_201205	DROLUCDI_201205
01/06/2013	PROASELLUS_SP|ENTRECHA_201205	ENTRECHA_201205
01/06/2013	PROASELLUS_SP|ENTRECHU_201007	ENTRECHU_201007
01/06/2013	PROASELLUS_SP|EYGUIANS_201007	EYGUIANS_201007
01/06/2013	PROASELLUS_SP|EYGUPILD_201007	EYGUPILD_201007
01/06/2013	PROASELLUS_SP|EYGUPILU_201007	EYGUPILU_201007
01/06/2013	PROASELLUS_SP|GRIGNANU_201007	GRIGNANU_201007
01/06/2013	PROASELLUS_SP|JABRON_201007	JABRON_201007
01/06/2013	PROASELLUS_SP|JABRONAM_201007	JABRONAM_201007
01/06/2013	PROASELLUS_SP|LUSCROIX_201007	LUSCROIX_201007
01/06/2013	PROASELLUS_SP|MONTJOAM_201007	MONTJOAM_201007
01/06/2013	PROASELLUS_SP|MONTMAUR_201007	MONTMAUR_201007
01/06/2013	PROASELLUS_SP|OUBUISB2_201205	OUBUISB2_201205
01/06/2013	PROASELLUS_SP|OUVSABLE_201205	OUVSABLE_201205
01/06/2013	PROASELLUS_SP|OUVSARR_201205	OUVSARR_201205
01/06/2013	PROASELLUS_SP|OUVSTAU2_201205	OUVSTAU2_201205
01/06/2013	PROASELLUS_SP|OUVVAISD_201007	OUVVAISD_201007
01/06/2013	PROASELLUS_SP|OUVVAISO_201007	OUVVAISO_201007
01/06/2013	PROASELLUS_SP|OUVVAISO_201205	OUVVAISO_201205
01/06/2013	PROASELLUS_SP|ROUBARRE_201102	ROUBARRE_201102
01/06/2013	PROASELLUS_N_SP_ARPAON|GOUDECHE_201409	GOUDECHE_201409
01/06/2013	PROASELLUS_N_SP_ARPAON|MALLEPIQ_201303	MALLEPIQ_201303
01/06/2013	PROASELLUS_ALBIGENSIS|AGOUT_199907	AGOUT_199907
01/06/2013	PROASELLUS_N_SP_ARPAON|ORNAC_200510	ORNAC_200510
01/06/2013	PROASELLUS_N_SP_ETCHEBERRIGARAY|ETCHEVE_201405	ETCHEVE_201405
01/06/2013	PROASELLUS_N_SP_MAGLIA|MAGLIA_200908	MAGLIA_200908
01/06/2013	PROASELLUS_N_SP_MONTELIMAR|ROUMONTE_201205	ROUMONTE_201205
01/06/2013	PROASELLUS_SPELAEUS|CALECCIA_196507	CALECCIA_196507
01/06/2013	PROASELLUS_SYNASELLOIDES|CHATEVER_200704	CHATEVER_200704
01/06/2013	PROASELLUS_SYNASELLOIDES|VIOLETTE_200707	VIOLETTE_200707
01/06/2013	PROASELLUS_SYNASELLOIDES|GAPEAUHY_200210	GAPEAUHY_200210
01/06/2013	PROASELLUS_SYNASELLOIDES|ROUVIESB_200210	ROUVIESB_200210
01/06/2013	PROASELLUS_SYNASELLOIDES|D1MANOSQ_201009	D1MANOSQ_201009
01/06/2013	PROASELLUS_SYNASELLOIDES|D2MANOSQ_200511	D2MANOSQ_200511
01/06/2013	PROASELLUS_VALDENSIS|CAVALE_200511	CAVALE_200511
01/06/2013	PROASELLUS_VALDENSIS|PLEUREUS_200509	PLEUREUS_200509
01/06/2013	PROASELLUS_VALDENSIS|SALLES_200509	SALLES_200509
01/06/2013	PROASELLUS_VALDENSIS|HUGBIS_200704	HUGBIS_200704
01/06/2013	PROASELLUS_VALDENSIS|PLEUREUS_201009	PLEUREUS_201009
01/06/2013	PROASELLUS_VALDENSIS|SALLES_201010	SALLES_201010
