Modif_taxonomy_FM	ID	order	family	subfamily	genus	subgenus	specificEpithet	infraspecificEpithet	scientificName	scientificNameAuthorship	acceptedNameUsage	namePublishedInYear	country	Locality	locationRemarks	habitat	decimalLongitude	decimalLatitude	geodeticDatum	Easting_EPSG3035	Northing_EPSG3035	Coord.Uncertainty	Coord.Validator	associatedReferences	PublicationYear	source	researchGroup	Habitat_Florian	Access_Florian	order_FM	family_FM	subfamily_FM	genus_FM	subgenus_FM	specificEpithet_FM	infraspecificEpithet_FM	scientificName_FM	FM_dwc_identificationQualifier	FM_identification_addendum	scientificNameAuthorship_FM	acceptedNameUsage_FM	namePublishedInYear_FM
	2142	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	orcinus	NULL	Speocyclops orcinus	Kiefer, 1937	Speocyclops orcinus Kiefer, 1937	1937	France	Iriberry cave, Bustince-Iriberry commune	cave	NULL	-1.212	43.182	EPSG: 4326	3410763.834	2298578.33	2 km	Francesco Cerasoli	Fiers F., Pandourski I. (2008) Redescription of Speocyclops orcinus Kiefer, 1937 (Copepoda Cyclopoida Cyclopidae) from the type locality, Cave Iriberi, Southern France. Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie, 78: 5-16	2008	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	orcinus	NULL	Speocyclops orcinus			Kiefer, 1937	Speocyclops orcinus Kiefer, 1937	1937
yes	2143	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	cf. proserpinae	NULL	Speocyclops cf. proserpinae	Kiefer, 1937	Speocyclops cf. proserpinae Kiefer, 1937	1986	France	'Grotte du Cormoran',Torcieu commune, Ain Dept.	cave	NULL	5.406	45.908	EPSG: 4326	3964339.93	2543806.119	0.5 km	Francesco Cerasoli	Gibert J. (1986) êcologie d'un systäme karstique jurassien. HydrogÇologie, dÇrive animale, transits de matiäres, dynamique de la population de Niphargus (CrustacÇ Amphipode). Thäse de Doctorat d'Etat, UniversitÇ Lyon 1, 379 pp.	1986	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	proserpinae	NULL	Speocyclops proserpinae	cf		Kiefer, 1937	Speocyclops proserpinae Kiefer, 1937	1986
yes	2144	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	cf. proserpinae	NULL	Speocyclops cf. proserpinae	Kiefer, 1937	Speocyclops cf. proserpinae Kiefer, 1937	1986	France	Gouffre de la Morgne, BÇnonces	cave	NULL	5.513	45.824	EPSG: 4326	3972096.948	2533988.249	1 km	Francesco Cerasoli	Lescher-MoutouÇ F. (2005) Personal communication	2005	Pascalis project Database: Europe	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	proserpinae	NULL	Speocyclops proserpinae	cf		Kiefer, 1937	Speocyclops proserpinae Kiefer, 1937	1986
	1700	Cyclopoida	Cyclopidae	Cyclopinae	Graeteriella	Graeteriella	unisetigera	NULL	Graeteriella (Graeteriella) unisetigera	(Graeter, 1908)	Graeteriella (Graeteriella) unisetigera (Graeter, 1908)	1908	France	Grotte d'en FerrÇol, Corbäre-les-Cabanes commune,  PyrÇnÇes-Orientales Dept.	karst: unsaturated zone	Karst:saturated	2.679	42.656	EPSG: 4326	3719901.492	2201475.464	0.1 km	Francesco Cerasoli	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert (2004). Statistical analyses and identification of indicators. European Project 'PASCALIS' (EVK-CT-2001-00121), Report for WP7 - D8 Deliverable, 156 p.	2004	Pascalis project Database: Region: Roussillon: France	L. Deharveng, N. Coineau, C. Boutin: Toulouse: France	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Graeteriella	Graeteriella	unisetigera	NULL	Graeteriella (Graeteriella) unisetigera			(Graeter, 1908)	Graeteriella (Graeteriella) unisetigera (Graeter, 1908)	1908
	2146	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis	Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954	France	Lachein brook, Baget karst system, Balaguäre commune, Ariäge Dept.	NULL	NULL	1.028	42.955	EPSG: 4326	3588696.998	2249089.65	1 km	Francesco Cerasoli	Rouch R. (1988) Sur la rÇpartition spatiale des CrustacÇs dans le sous-Çcoulement d'un ruisseau des PyrÇnÇes. Annls. Limnol., 24(3): 213-234	1988	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic zone	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis			Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954
	2147	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis	Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954	France	Jouan d'Arau spring, Moulis, Ariäge	spring	NULL	1.104	42.943	EPSG: 4326	3594720.001	2247029.696	1 km	Francesco Cerasoli	Lescher-MoutouÇ F. (1973) Sur la biologie et ecologie des CopÇpodes Cyclopides hypogÇs (CrustacÇs). Ann. SpÇlÇol., 28(3): 429-502. 28(4): 581-674	1973	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Spring	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis			Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954
	2148	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis	Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954	France	'RÇsurgence de Moulis', Moulis commune, Ariäge Department	spring	NULL	1.091	42.961	EPSG: 4326	3593885.334	2249138.868	0.2 km	Francesco Cerasoli	Lescher-MoutouÇ F. (1973) Sur la biologie et ecologie des CopÇpodes Cyclopides hypogÇs (CrustacÇs). Ann. SpÇlÇol., 28(3): 429-502. 28(4): 581-674	1973	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Spring	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis			Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954
	2149	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis	Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954	France	'Tute de Jovis' cave, Alos commune, Ariäge department	spring	NULL	1.153	42.916	EPSG: 4326	3598370.225	2243582.049	0.1 km	Francesco Cerasoli	Lescher-MoutouÇ F. (1973) Sur la biologie et ecologie des CopÇpodes Cyclopides hypogÇs (CrustacÇs). Ann. SpÇlÇol., 28(3): 429-502. 28(4): 581-674	1973	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis			Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954
	2150	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis	Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954	France	'Grotte de Moulis', Moulis commune, Ariäge Department	interstitial	NULL	1.091	42.959	EPSG: 4326	3593860.773	2248918.487	0.1 km	Francesco Cerasoli	Lescher-MoutouÇ F. (1973) Sur la biologie et ecologie des CopÇpodes Cyclopides hypogÇs (CrustacÇs). Ann. SpÇlÇol., 28(3): 429-502. 28(4): 581-674	1973	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis			Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954
	2151	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis	Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954	France	'Grotte de Moulis', Moulis commune, Ariäge Department	karst: unsaturated zone/cave	Karst:saturated	1.091	42.959	EPSG: 4326	3593860.773	2248918.487	0.1 km	Francesco Cerasoli	Delay B. (1968) DonnÇes sur le peuplement de la zone de percolation temporaire. Ann. SpÇlÇol., 23(4): 705-716	1968	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis			Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954
	2152	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis	Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954	France	'La Biäle' spring, Moulis, Ariäge Department	spring	NULL	1.125	42.929	EPSG: 4326	3596254.182	2245284.239	0.1 km	Francesco Cerasoli	Lescher-MoutouÇ F. (1973) Sur la biologie et ecologie des CopÇpodes Cyclopides hypogÇs (CrustacÇs). Ann. SpÇlÇol., 28(3): 429-502. 28(4): 581-674	1973	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis			Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954
	2153	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis	Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954	France	Subsurface flow along the road to Montfaucon, Moulis commune, Ariäge Dept.	NULL	NULL	1.111	42.955	EPSG: 4326	3595435.476	2248284.364	1 km	Francesco Cerasoli	Lescher-MoutouÇ F. (1973) Sur la biologie et ecologie des CopÇpodes Cyclopides hypogÇs (CrustacÇs). Ann. SpÇlÇol., 28(3): 429-502. 28(4): 581-674	1973	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface		Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis			Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954
	2154	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis	Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954	France	Grotte du Bosc, Saint-Antonin-Noble-Val, Tarn et Garonne Dept.	cave	NULL	1.782	44.168	EPSG: 4326	3663792.029	2375870.472	0.1 km	Francesco Cerasoli	Kiefer F. (1954) Einige Cyclopiden aus sÅdfranzîsischen Hîhlen. Notes BiospÇlÇologiques, 9: 157-165	1954	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	boscensis	Speocyclops racovitzai boscensis			Kiefer, 1954	Speocyclops racovitzai boscensis Kiefer, 1954	1954
	1226	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	belgicus	NULL	Diacyclops belgicus	Kiefer, 1936	Diacyclops belgicus Kiefer, 1936	1936	France	'Source JLR 1', Alex hamlet, Groissiat commune, Ain department	karst: saturated zone	Karst:saturated	5.616	46.219	EPSG: 4326	3982573.608	2577302.075	0.1 km	Francesco Cerasoli	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert (2004). Statistical analyses and identification of indicators. European Project 'PASCALIS' (EVK-CT-2001-00121), Report for WP7 - D8 Deliverable, 156 p.	2004	Pascalis project Database: Region: Jura: France	F. Malard, M.-J. Dole-Olivier: Lyon: France	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Spring	Cyclopoida	Cyclopidae	Cyclopinae	Diacyclops	NULL	belgicus	NULL	Diacyclops belgicus			Kiefer, 1936	Diacyclops belgicus Kiefer, 1936	1936
	2156	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	guillounensis	Speocyclops racovitzai guillounensis	Kiefer, 1954	Speocyclops racovitzai guillounensis Kiefer, 1954	1954	France	'Grotte de Gouillou', Aspet commune, Haute-Garonne Dept.	cave	NULL	0.762	43.027	EPSG: 4326	3568025.383	2259651.509	1 km	Francesco Cerasoli	Kiefer F. (1954) Einige Cyclopiden aus sÅdfranzîsischen Hîhlen. Notes BiospÇlÇologiques, 9: 157-165	1954	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	guillounensis	Speocyclops racovitzai guillounensis			Kiefer, 1954	Speocyclops racovitzai guillounensis Kiefer, 1954	1954
	1573	Cyclopoida	Cyclopidae	Eucyclopinae	Eucyclops	Subterrocyclops	graeteri	NULL	Eucyclops (Subterrocyclops) graeteri	(Chappuis, 1927)	Eucyclops (Subterrocyclops) graeteri (Chappuis, 1927)	1927	France	'Source JLR 2', Alex hamlet, Groissiat commune, Ain department	karst: saturated zone	Karst:saturated	5.629	46.222	EPSG: 4326	3983594.639	2577575.618	0.1 km	Francesco Cerasoli	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert (2004). Statistical analyses and identification of indicators. European Project 'PASCALIS' (EVK-CT-2001-00121), Report for WP7 - D8 Deliverable, 156 p.	2004	Pascalis project Database: Region: Jura: France	F. Malard, M.-J. Dole-Olivier: Lyon: France	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Spring	Cyclopoida	Cyclopidae	Eucyclopinae	Eucyclops	Subterrocyclops	graeteri	NULL	Eucyclops (Subterrocyclops) graeteri			(Chappuis, 1927)	Eucyclops (Subterrocyclops) graeteri (Chappuis, 1927)	1927
	2158	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	incertus	Speocyclops racovitzai incertus	Chappuis & Kiefer, 1952	Speocyclops racovitzai incertus Chappuis & Kiefer, 1952	1952	France	Grotte des Sarragines, ErcÇ	cave	NULL	1.303	42.834	EPSG: 4326	3609577.636	2233114.452	Comm.Centr	Francesco Cerasoli	Kiefer F. (1954) Einige Cyclopiden aus sÅdfranzîsischen Hîhlen. Notes BiospÇlÇologiques, 9: 157-165	1954	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	incertus	Speocyclops racovitzai incertus			Chappuis & Kiefer, 1952	Speocyclops racovitzai incertus Chappuis & Kiefer, 1952	1952
	2159	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis	Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952	France	RÇsurgence du Moulo de Jaur, Alas	spring	NULL	1.028	42.954	EPSG: 4326	3588684.632	2248979.469	1 km	Francesco Cerasoli	Lescher-MoutouÇ F. (1973) Sur la biologie et ecologie des CopÇpodes Cyclopides hypogÇs (CrustacÇs). Ann. SpÇlÇol., 28(3): 429-502. 28(4): 581-674	1973	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Spring	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis			Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952
	2160	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis	Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952	France	Lachein brook, Baget karst system, Balaguäre commune, Ariäge Dept.	spring	NULL	1.028	42.954	EPSG: 4326	3588684.632	2248979.469	1 km	Francesco Cerasoli	Lescher-MoutouÇ F. (1973) Sur la biologie et ecologie des CopÇpodes Cyclopides hypogÇs (CrustacÇs). Ann. SpÇlÇol., 28(3): 429-502. 28(4): 581-674	1973	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Spring	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis			Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952
	2161	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis	Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952	France	Lachein brook, Baget karst system, Balaguäre commune, Ariäge Dept.	hyporheic	NULL	1.028	42.954	EPSG: 4326	3588684.632	2248979.469	1 km	Francesco Cerasoli	Rouch R., Lescher-MoutouÇ F. (1992) Structure du peuplement des Cyclopides (Crustacea: Copepoda) dans le milieu hyporhÇique d'un ruisseau des PyrÇnÇes.. Stygologia, 7(4): 197-211	1992	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis			Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952
	2162	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis	Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952	France	'Grotte de LiquÇ', Moulis commune, Ariäge Dept.	cave	NULL	1.074	42.963	EPSG: 4326	3592529.88	2249523.93	1 km	Francesco Cerasoli	Chappuis P.A., Kiefer F. (1952) CopÇpodes cavernicoles des PyrÇnÇes. Notes BiospÇol., 7: 113-131	1952	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis			Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952
	2163	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis	Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952	France	'Grotte de Sainte Catherine, Balaguäres commune, Ariäge Dept.	cave	NULL	1.027	42.957	EPSG: 4326	3588640.553	2249319.762	0.2 km	Francesco Cerasoli	Chappuis P.A., Kiefer F. (1952) CopÇpodes cavernicoles des PyrÇnÇes. Notes BiospÇol., 7: 113-131	1952	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis			Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952
	2164	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis	Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952	France	Paysa cave, Salsein, Ariäge Department	cave	NULL	1.007	42.904	EPSG: 4326	3586360.291	2243675.546	0.1 km	Francesco Cerasoli	Kiefer F. (1954) Einige Cyclopiden aus sÅdfranzîsischen Hîhlen. Notes BiospÇlÇologiques, 9: 157-165	1954	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis			Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952
	2165	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis	Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952	France	'Cap de tir' spring, Moulis, Ariäge Department	spring	NULL	1.087	42.942	EPSG: 4326	3593327.203	2247083.993	0.1 km	Francesco Cerasoli	Lescher-MoutouÇ F. (1973) Sur la biologie et ecologie des CopÇpodes Cyclopides hypogÇs (CrustacÇs). Ann. SpÇlÇol., 28(3): 429-502. 28(4): 581-674	1973	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	liquensis	Speocyclops racovitzai liquensis			Chappuis & Kiefer, 1952	Speocyclops racovitzai liquensis Chappuis & Kiefer, 1952	1952
	1506	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	phreatica	NULL	Elaphoidella phreatica	(Chappuis, 1925)	Elaphoidella phreatica (Chappuis, 1925)	1925	France	'Le Flaret' spring, Outriaz commune, Ain department	karstSaturated Zone	Karst:saturated	5.564	46.059	EPSG: 4326	3977547.72	2559801.419	0.1 km	Francesco Cerasoli	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert (2004). Statistical analyses and identification of indicators. European Project 'PASCALIS' (EVK-CT-2001-00121), Report for WP7 - D8 Deliverable, 156 p.	2004	Pascalis project Database: Region: Jura: France	F. Malard, M.-J. Dole-Olivier: Lyon: France	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Spring	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	phreatica	NULL	Elaphoidella phreatica			(Chappuis, 1925)	Elaphoidella phreatica (Chappuis, 1925)	1925
	2167	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	peyortensis	Speocyclops racovitzai peyortensis	Chappuis & Kiefer, 1952	Speocyclops racovitzai peyortensis Chappuis & Kiefer, 1952	1952	France	Grotte de la carriäre de Montgautin	cave	NULL	1.03	43.018	EPSG: 4326	3589638.558	2256011.792	0.5 km	Francesco Cerasoli	Lescher-MoutouÇ F. (1973) Sur la biologie et ecologie des CopÇpodes Cyclopides hypogÇs (CrustacÇs). Ann. SpÇlÇol., 28(3): 429-502. 28(4): 581-674	1973	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	peyortensis	Speocyclops racovitzai peyortensis			Chappuis & Kiefer, 1952	Speocyclops racovitzai peyortensis Chappuis & Kiefer, 1952	1952
	1164	Harpacticoida	Canthocamptidae	Morariinae	Ceuthonectes	NULL	serbicus	NULL	Ceuthonectes serbicus	Chappuis, 1924	Ceuthonectes serbicus Chappuis, 1924	1924	France	'Sources Maconnod 2', Maconnod hamlet, BrÇnod commune, Ain Dept.	karstSaturated Zone	Karst:saturated	5.629	46.074	EPSG: 4326	3982667.487	2561166.515	0.1 km	Francesco Cerasoli	Stoch F., Malard F., Castellarini F., Dole-Olivier M-J. and J. Gibert (2004). Statistical analyses and identification of indicators. European Project 'PASCALIS' (EVK-CT-2001-00121), Report for WP7 - D8 Deliverable, 156 p.	2004	Pascalis project Database: Region: Jura: France	F. Malard, M.-J. Dole-Olivier: Lyon: France	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Spring	Harpacticoida	Canthocamptidae	Morariinae	Ceuthonectes	NULL	serbicus	NULL	Ceuthonectes serbicus			Chappuis, 1924	Ceuthonectes serbicus Chappuis, 1924	1924
	2169	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	peyortensis	Speocyclops racovitzai peyortensis	Chappuis & Kiefer, 1952	Speocyclops racovitzai peyortensis Chappuis & Kiefer, 1952	1952	France	Grotte de Peyort, Prat-Bonrepaux commune, Ariäge Department	cave	NULL	1.032	43.012	EPSG: 4326	3589726.528	2255331.197	0.1 km	Francesco Cerasoli	Chappuis P.A., Kiefer F. (1952) CopÇpodes cavernicoles des PyrÇnÇes. Notes BiospÇol., 7: 113-131	1952	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	peyortensis	Speocyclops racovitzai peyortensis			Chappuis & Kiefer, 1952	Speocyclops racovitzai peyortensis Chappuis & Kiefer, 1952	1952
	2170	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	racovitzai	Speocyclops racovitzai racovitzai	(Chappuis, 1923)	Speocyclops racovitzai racovitzai (Chappuis, 1923)	1923	France	BÇtharram cave, Saint-PÇ-de-Bigorre, Atlantic Pyrenees Dept.	cave	NULL	-0.188	43.101	EPSG: 4326	3492146.79	2277805.686	0.1 km	Francesco Cerasoli	Chappuis P.A. (1923) Nouveaux CopÇpodes cavernicoles des genres Cyclops et Canthocamptus. Bul. Soc. St. Cluj, 1: 584-590	1923	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	racovitzai	Speocyclops racovitzai racovitzai			(Chappuis, 1923)	Speocyclops racovitzai racovitzai (Chappuis, 1923)	1923
	2171	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	racovitzai	Speocyclops racovitzai racovitzai	(Chappuis, 1923)	Speocyclops racovitzai racovitzai (Chappuis, 1923)	1923	France	Grotte de la PÉle, Saint-Pä-de-Bigorre, High PiränÇes	cave	NULL	-0.141	43.085	EPSG: 4326	3495720.086	2275527.407	0.1 km	Francesco Cerasoli	Chappuis P.A., Kiefer F. (1952) CopÇpodes cavernicoles des PyrÇnÇes. Notes BiospÇol., 7: 113-131	1952	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	racovitzai	Speocyclops racovitzai racovitzai			(Chappuis, 1923)	Speocyclops racovitzai racovitzai (Chappuis, 1923)	1923
	2172	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	racovitzai	Speocyclops racovitzai racovitzai	(Chappuis, 1923)	Speocyclops racovitzai racovitzai (Chappuis, 1923)	1923	France	BÇtharram cave, Saint-PÇ-de-Bigorre, Atlantic Pyrenees Dept.	karst: unsaturated zone/cave	Karst:saturated	-0.188	43.101	EPSG: 4326	3492146.79	2277805.686	0.1 km	Francesco Cerasoli	Chappuis P.A. (1933) CopÇpodes (premiäre sÇrie), avec l'Çnumeration de tous les CopÇpodes cavernicoles connus en 1930. Arch. Zool. exp. gÇn., 76(1) (Biospeologica 59): 1-57	1933	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Cyclopinae	Speocyclops	NULL	racovitzai	racovitzai	Speocyclops racovitzai racovitzai			(Chappuis, 1923)	Speocyclops racovitzai racovitzai (Chappuis, 1923)	1923
