Modif_taxonomy_FM	ID	order	family	subfamily	genus	subgenus	specificEpithet	infraspecificEpithet	scientificName	scientificNameAuthorship	acceptedNameUsage	namePublishedInYear	country	Locality	locationRemarks	habitat	decimalLongitude	decimalLatitude	geodeticDatum	Easting_EPSG3035	Northing_EPSG3035	Coord.Uncertainty	Coord.Validator	associatedReferences	PublicationYear	source	researchGroup	Habitat_Florian	Access_Florian	order_FM	family_FM	subfamily_FM	genus_FM	subgenus_FM	specificEpithet_FM	infraspecificEpithet_FM	scientificName_FM	FM_dwc_identificationQualifier	FM_identification_addendum	scientificNameAuthorship_FM	acceptedNameUsage_FM	namePublishedInYear_FM
	5375	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	elaphoides	elaphoides	Elaphoidella elaphoides elaphoides	(Chappuis, 1924)	Elaphoidella elaphoides elaphoides (Chappuis, 1924)	1924	Romania	Aries River	hyporheic habitat	Aquifer in unconsolidated sediments:hyporeic	23.504	46.475	EPSG: 4326	5352639.845	2689927.239	Catchment	Francesco Cerasoli	Damian-Georgescu A. (1970) Fauna Republicii Socialiste Romania.Crustacea.Copepoda Harpacticoida(Forme de apa dulce). Ed. Acad. Rep. Soc. Romania, 248 pp.	1970	Literature: D. Galassi	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic Zone	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	elaphoides	elaphoides	Elaphoidella elaphoides elaphoides			(Chappuis, 1924)	Elaphoidella elaphoides elaphoides (Chappuis, 1924)	1924
	5024	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	bulbifera	NULL	Elaphoidella bulbifera	Chappuis, 1937	Elaphoidella bulbifera Chappuis, 1937	1937	North Macedonia	Fountain close to Ohrid town	spring water and limnostygal	NULL	20.808	41.118	EPSG: 4326	5229126.276	2067021.702	3 km	Mattia Di Cicco	Chappuis P.A. (1937) Weitere subterrane Harpacticoiden aus Jugoslawien. Bul. Soc. St. Cluj, 8: 503-532	1937	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Fountain	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	bulbifera	NULL	Elaphoidella bulbifera			Chappuis, 1937	Elaphoidella bulbifera Chappuis, 1937	1937
	5031	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	elaphoides	elaphoides	Elaphoidella elaphoides elaphoides	(Chappuis, 1924)	Elaphoidella elaphoides elaphoides (Chappuis, 1924)	1924	North Macedonia	Romanovce village, Kumanovo	spring water	NULL	21.693	42.089	EPSG: 4326	5287464.968	2184581.872	3 km	Mattia Di Cicco	Petkovski T.K. (1956) öber einige Copepoden aus Hîhlen- und GrundgewÑssern Jugoslaviens. Izdanija, Inst. Piscic. R.P. Maced., Skopje, 1(8): 185-208	1956	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	elaphoides	elaphoides	Elaphoidella elaphoides elaphoides			(Chappuis, 1924)	Elaphoidella elaphoides elaphoides (Chappuis, 1924)	1924
	5032	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	elaphoides	elaphoides	Elaphoidella elaphoides elaphoides	(Chappuis, 1924)	Elaphoidella elaphoides elaphoides (Chappuis, 1924)	1924	North Macedonia	Ohrid lake, close to the village Gorica, along the shore lines of the lake	limnostygal-interstitial	Lymnic interstitial	20.808	41.109	EPSG: 4326	5229257.233	2066033.768	3 km	Mattia Di Cicco	Petkovski T.K., Karanovic T. (1997) Two new copepod species (Crustacea: Copepoda) from the Ohrid Lake. Annls. Limnol., 33(4): 245-253	1997	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic zone, Lake	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	elaphoides	elaphoides	Elaphoidella elaphoides elaphoides			(Chappuis, 1924)	Elaphoidella elaphoides elaphoides (Chappuis, 1924)	1924
	5389	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	putealis	NULL	Elaphoidella putealis	(Chappuis, 1925)	Elaphoidella putealis (Chappuis, 1925)	1925	Romania	Vadu Crisului cave	karst: unsaturated zone/cave	Karst:saturated	22.511	46.962	EPSG: 4326	5268869.409	2730086.226	0.1 km	Emma Galmarini	Meleg I.N., Fiers F., Moldovan O.T. (2011) Assessing copepod (Crustacea: Copepoda) species richness at different spatial scales in northwestern Romanian caves. Subterranean Biology, 9: 103-112	2011	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	putealis	NULL	Elaphoidella putealis			(Chappuis, 1925)	Elaphoidella putealis (Chappuis, 1925)	1925
	5033	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	elaphoides	elaphoides	Elaphoidella elaphoides elaphoides	(Chappuis, 1924)	Elaphoidella elaphoides elaphoides (Chappuis, 1924)	1924	North Macedonia	Vojnica spring, Veles	spring water	NULL	21.78	41.73	EPSG: 4326	5300338.509	2146326.771	5 km	Mattia Di Cicco	Petkovski T.K. (1956) öber einige Copepoden aus Hîhlen- und GrundgewÑssern Jugoslaviens. Izdanija, Inst. Piscic. R.P. Maced., Skopje, 1(8): 185-208	1956	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	elaphoides	elaphoides	Elaphoidella elaphoides elaphoides			(Chappuis, 1924)	Elaphoidella elaphoides elaphoides (Chappuis, 1924)	1924
	5034	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	incerta	NULL	Elaphoidella incerta	Chappuis, 1937	Elaphoidella incerta Chappuis, 1937	1937	North Macedonia	Zrni Kamen cave, Skoplje	cave waters	NULL	21.452	42.004	EPSG: 4326	5269047.224	2172191.421	20 km	Mattia Di Cicco	Chappuis P.A. (1937) Weitere subterrane Harpacticoiden aus Jugoslawien. Bul. Soc. St. Cluj, 8: 503-532	1937	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	incerta	NULL	Elaphoidella incerta			Chappuis, 1937	Elaphoidella incerta Chappuis, 1937	1937
	5397	Cyclopoida	Cyclopidae	Eucyclopinae	Eucyclops	Subterrocyclops	subterraneus	intermedius	Eucyclops (Subterrocyclops) subterraneus intermedius	Damian, 1955	Eucyclops (Subterrocyclops) subterraneus intermedius Damian, 1955	1955	Romania	Movile cave	karst: saturated zone/cave	Karst:saturated	28.5607	43.8256	EPSG: 4326	5800226.108	2486441.698	0.1 km	Emma Galmarini	Plesa C. (1989) êtude prÇliminarire des Cyclopides (Crustacea, Copepoda) de la grotte Pestera de la Movile, Mangalia (Roumanie). Misc. speol. Rom., 1: 39-45	1989	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Karst	Cave	Cyclopoida	Cyclopidae	Eucyclopinae	Eucyclops	Subterrocyclops	subterraneus	intermedius	Eucyclops (Subterrocyclops) subterraneus intermedius			Damian, 1955	Eucyclops (Subterrocyclops) subterraneus intermedius Damian, 1955	1955
	5400	Cyclopoida	Cyclopidae	Eucyclopinae	Eucyclops	Subterrocyclops	subterraneus	intermedius	Eucyclops (Subterrocyclops) subterraneus intermedius	Damian, 1955	Eucyclops (Subterrocyclops) subterraneus intermedius Damian, 1955	1955	Romania	Springs of Aries basin	spring	NULL	23.017	46.372	EPSG: 4326	5317804.202	2671967.767	2 km	Francesco Cerasoli	Damian A. (1955) Doia noi forme de Copepode din izvoarele Muntilor Apuseni (Bazinul Ariesurilor). Bul. sti. Acad. Rep. Pop. Rom., sec. biol. agron. geol. geogr., 7(2): 427-432	1955	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer	Spring	Cyclopoida	Cyclopidae	Eucyclopinae	Eucyclops	Subterrocyclops	subterraneus	intermedius	Eucyclops (Subterrocyclops) subterraneus intermedius			Damian, 1955	Eucyclops (Subterrocyclops) subterraneus intermedius Damian, 1955	1955
	5035	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	karamani	karamani	Elaphoidella karamani karamani	Chappuis, 1936	Elaphoidella karamani karamani Chappuis, 1936	1936	North Macedonia	Several localities and gw habitats: Kumanovo	freshwater wells	Aquifer in unconsolidated sediments:saturated	21.726	42.133	EPSG: 4326	5289464.4	2189833.194	3 km	Mattia Di Cicco	Petkovski T.K. (1956) öber einige Copepoden aus Hîhlen- und GrundgewÑssern Jugoslaviens. Izdanija, Inst. Piscic. R.P. Maced., Skopje, 1(8): 185-208	1956	Literature: F. Stoch	NULL	Aquatic, Freshwater, Subsurface, Aquifer, Unconsolidated sediment	Well	Harpacticoida	Canthocamptidae	Canthocamptinae	Elaphoidella	NULL	karamani	karamani	Elaphoidella karamani karamani			Chappuis, 1936	Elaphoidella karamani karamani Chappuis, 1936	1936
