Locality	Locality_fixed
Pozzo a Santa Maria Palmense (MA ?)	Pozzo a Santa Maria Palmense (MA ?)
Verona-Montorio Laghetto Squar�	Verona-Montorio Laghetto Squarè
Buse da l�Ors (Fr 64)	Buse da l'Ors (Fr 64)
Pozzo SP Spoleto-Bastardo, tra San Nicol� e San Brizio	Pozzo SP Spoleto-Bastardo, tra San Nicolò e San Brizio
Pozzo a Valdaso (Ma 22)	Pozzo a Valdaso (Ma 22)
Pozzo Macerata (Ma 67)	Pozzo Macerata (Ma 67)
Pozzo debolmente salmastro a Montemarciano (Ma 43)	Pozzo debolmente salmastro a Montemarciano (Ma 43)
Pozzo a Iesi, Ancona (Ma 41)	Pozzo a Iesi, Ancona (Ma 41)
Risorgente di Ca' della Ghiaia (244 ER/RE)	Risorgente di Ca' della Ghiaia (244 ER/RE)
Resurgences of Tanone Grande della Gaggiolina	Resurgences of Tanone Grande della Gaggiolina
Lucola stream, bridge Molino di Poiano	Lucola stream, bridge Molino di Poiano
Rio dei Tramonti, Case Ferrari, 200 m upstream sinkhole	Rio dei Tramonti, Case Ferrari, 200 m upstream sinkhole
Fiume Adige, ambiente interstiziale	Fiume Adige, ambiente interstiziale
Pozzi salmastri a Mola di Bari	Pozzi salmastri a Mola di Bari
L'Abisso (141 Pu/LE), Castro Marina	L'Abisso (141 Pu/LE), Castro Marina
Foiba della Dragonera, presso l'imbarcadero per la Grotta di Nettuno	Foiba della Dragonera, presso l'imbarcadero per la Grotta di Nettuno
Pozzi tra Santa Maria in Bagno e Porto Cesareo	Pozzi tra Santa Maria in Bagno e Porto Cesareo
Montichiari Municipality, Chiese River	Montichiari Municipality, Chiese River
Ceraino, Adige River, shores	Ceraino, Adige River, shores
Soncino (CR) Municipality, Fiume Oglio (river)	Soncino (CR) Municipality, Fiume Oglio (river)
Pescara province, Popoli Municipality, S. Liberata spring (which fed  Capo Pescara spring) N 42.170834�, E 13.831667�	Pescara province, Popoli Municipality, S. Liberata spring (which fed Capo Pescara spring) N 42.170834°, E 13.831667°
Grotta di Monte Capriolo (1071 V/VR), Rover� 1000	Grotta di Monte Capriolo (1071 V/VR), Roverè 1000
Grotta del Sengio Brus� (25 V/VI), Molino	Grotta del Sengio Brusà (25 V/VI), Molino
Piani Eterni cave complex, PE10 (3640 V/BL)	Piani Eterni cave complex, PE10 (3640 V/BL)
Pozzo litoranea Gallipoli-S.M. in Bagno (PU/110)	Pozzo litoranea Gallipoli-S.M. in Bagno (PU/110)
Buco dei Diavoli (101/Pu), Porto Badisco (PU/182)	Buco dei Diavoli (101/Pu), Porto Badisco (PU/182)
Grotta Zinzulusa (107 Pu)	Grotta Zinzulusa (107 Pu)
Pozzo litoranea S.M. in Bagno-Porto Cesareo, Contrada Uluzio (PU/111)	Pozzo litoranea S.M. in Bagno-Porto Cesareo, Contrada Uluzio (PU/111)
Pozzo litoranea S.M. in Bagno-Porto Cesareo, Contrada Uluzio (PU/112)	Pozzo litoranea S.M. in Bagno-Porto Cesareo, Contrada Uluzio (PU/112)
Pozzo S.S. 274 Taviano-Gallipoli, km 2 (PU/24)	Pozzo S.S. 274 Taviano-Gallipoli, km 2 (PU/24)
Cunicolo dei Diavoli (101 Pu/LE), Porto Badisco	Cunicolo dei Diavoli (101 Pu/LE), Porto Badisco
Grotta di Nettuno, Capo Caccia	Grotta di Nettuno, Capo Caccia
Dasterru di Punta Giglio (Alghero), cisterna sotterranea	Dasterru di Punta Giglio (Alghero), cisterna sotterranea
Salerno Province, Grotta di Castelcivita; UTM WE18, Castelcivita. Grotta di-	Salerno Province, Grotta di Castelcivita; UTM WE18, Castelcivita. Grotta di-
'Bue Marino' cave, Dorgali commune, Nuoro province	'Bue Marino' cave, Dorgali commune, Nuoro province
Orcia river, three different sites across the river: 1) 42°58'47""""N 0.11°45?95""""E	Orcia river, three different sites across the river: 1) 42°58'47""""N 0.11°45?95""""E
Verona-Montorio via Oliv�	Verona-Montorio via Olivè
Fiume Oglio, Soncino, ambiente iporreico (3)	Fiume Oglio, Soncino, ambiente iporreico (3)
Chiese River, Montichiari, ambiente iporreico (1)	Chiese River, Montichiari, ambiente iporreico (1)
Grotta di Barm�n (Fr 37)	Grotta di Barmìn (Fr 37)
Formia, Mazzoccolo karstic spring	Formia, Mazzoccolo karstic spring
Dlouh√° Loucka, Olomuc District	Dlouhá Loučka, Olomouc District
Fosso delle Fontane,  bridge road Braglie - Sologno	Fosso delle Fontane, bridge road Braglie - Sologno
Cavit� artificiale presso Ponte Anguillara (16 art/VR), Ponte Anguillara	Cavità artificiale presso Ponte Anguillara (16 art/VR), Ponte Anguillara
Cava in localit� Brentani (1 art/VR) o di Monte Solane	Cava in località Brentani (1 art/VR) o di Monte Solane
Verona-Rover� Veronese	Verona-Roverè Veronese
Secchia river, confluence of Poiano springs	Secchia river, confluence of Poiano springs
Lucola stream, bridge upstream Secchia river confluence	Lucola stream, bridge upstream Secchia river confluence
Lucola stream, bridge road Sologno - Minozzo	Lucola stream, bridge road Sologno - Minozzo
Rio di Sologno, 150 m upstream sinkhole	Rio di Sologno, 150 m upstream sinkhole
Secchia river, confluence of Tanone resurgences	Secchia river, confluence of Tanone resurgences
