Data_Set	Person_DataEntry	Site_replicate	site_code	site_name	latitude	longitude	coord_precision	altitude	country	locality	site_comments	sampling_date	sampling_participants	sampling_methods	sampling_fixatives	sampling_target	habitat	access_points	sampling_comments	sampling_id	taxon_name	unclassified	taxon_rank	family	genus	specific_epithet	Subspecies	tax_id_confer	tax_id_addendum	identified_on_date	identified_by	verbatim_identification	specimen_quantity	content_description	type_status	occurrence_comments	occurrence_id	data_repository	collection	pub_DOI	pub_authors	pub_year	pub_title	pub_journal	pub_verbatim	gene	seq_specimen_identifier	accession_number	MOTU	sequence_id	seq_comments	
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny			Inn Right Bank	48,018	13,249	<100m		AT		Precision Precise Province: Oberösterreich	1957					Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic zone			Proasellus strouhali 		Species	Asellidae	Proasellus	strouhali											STYA1428	OnlineDatabase_WorldAsellidaeDatabase	PROASELLUS_STROUHALI_STROUHALI|FRIEDBWE_195700													
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Constanze Englisch			Interstitial Melk b - 014_019_020_025_030_031	48,224449	15,259104	<1km		AT		Precision Set close to Ebersdorf (Melk) at Danube km 2041, 1.5 m from the left Danube river bank Province: Niederösterreich. Depths: 0.3 - 0.4, 1.15, 1.30, 0.50, 1.0. Partly over 90 individuals found, highest abundances were found in samples with little sediment.	02/09/1973					Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic zone			Proasellus slavus 		Species	Asellidae	Proasellus	slavus											STYA1345	Literature	WorldAsellidaeDatabase_PROASELLUS_SLAVUS_SLAVUS|DANUBEBE_197300	10.5038/1827-806x.8.1.3		1976			Danielopol DL (1976) The distribution of the fauna in the interstitial habitats of riverine sediments of the Danube and the Piesting (Austria). International Journal of Speleology 8: 23–51. https://doi.org/10.5038/1827-806x.8.1.3							
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny			Interstitial Station near lake Bregenz	47,50304	9,74707	<100m		AT		Precision Precise Province: Vorarlberg						Aquatic, Freshwater, Subsurface, Aquifer, Saturated, Hyporheic Zone	Hyporheic zone			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus											STYA1430	OnlineDatabase_WorldAsellidaeDatabase	PROASELLUS_CAVATICUS|BREGENZW_195700													
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny			Jungendbrunnen bei Baden	48,02455	16,19962	<100m		AT		Precision Precise Province: Niederösterreich	2024					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus strouhali 		Genus	Asellidae	Proasellus	strouhali							15			Sequence from Lyon	STYA1461	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny			Jungendbrunnen bei Baden - 	48,02455	16,19962	<100m		AT		Precision Precise Province: Niederösterreich	30/01/2025					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus strouhali 		Genus	Asellidae	Proasellus	strouhali							2			Sequence from Lyon	STYA1488	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny			Kremsursprung Micheldorf	47,85844	14,10444	<100m		AT		Precision Precise Province: Oberösterreich	06/02/2024					Aquatic, Freshwater, Subsurface, Aquifer	Spring			Proasellus strouhali 		Species	Asellidae	Proasellus	strouhali							304			Sequence from Lyon	STYA1492	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	16		Kritzendorf - KGW	48,3399534555959	16,308092247879	<100m		AT		Precision Precise Province: Niederösterreich	05/10/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus sp. 		Genus	Asellidae	Proasellus	sp.							5				STYA1470	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	16		Kritzendorf - KGW	48,3399534555959	16,308092247879	<100m		AT		Precision Precise Province: Niederösterreich	16/12/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus sp. 		Genus	Asellidae	Proasellus	sp.							2				STYA1474	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	16		Kritzendorf - KGW	48,3399534555959	16,308092247879	<100m		AT		Precision Precise Province: Niederösterreich	16/12/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus sp. 		Genus	Asellidae	Proasellus	sp.							1			Sequence from Lyon	STYA1475	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	16		Kritzendorf - KGW	48,3399534555959	16,308092247879	<100m		AT		Precision Precise Province: Niederösterreich	2020					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus sp. 		Genus	Asellidae	Proasellus	sp.							1				STYA1477	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	16		Kritzendorf - KGW	48,3399534555959	16,308092247879	<100m		AT		Precision Precise Province: Niederösterreich	2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus sp. 		Genus	Asellidae	Proasellus	sp.							19				STYA1479	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	16		Kritzendorf - KGW	48,3399534555959	16,308092247879	<100m		AT		Precision Precise Province: Niederösterreich	10/02/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				STYA1482	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	17		Kritzendorf - Schachtbrunnen	48,3445311378831	16,2957267584376	<100m		AT		Precision Precise Province: Niederösterreich	16/12/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus sp. 		Genus	Asellidae	Proasellus	sp.							5			Sequence from Lyon	STYA1476	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	17		Kritzendorf - Schachtbrunnen	48,3445311378831	16,2957267584376	<100m		AT		Precision Precise Province: Niederösterreich	10/02/2021					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				STYA1480	Project: Stygofauna Austriaca - University of Vienna														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Raphael Veits	18		Kritzendorf Grundwassermessstelle	48,3399427542994	16,3081007196744	<10km		AT		Precision Set close to Kritzendorf Grundwassermessstelle Province: Niederösterreich Grundwaserkurs: Geodata from Lobau Messstellen Database	16/02/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus cavaticus 		Species	Asellidae	Proasellus	cavaticus							1				STYA1385	Andreas Fuchs Personal Data														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Raphael Veits	18		Kritzendorf Grundwassermessstelle	48,3399427542994	16,3081007196744	<10km		AT		Precision Set close to Kritzendorf Grundwassermessstelle Province: Niederösterreich Grundwaserkurs: Geodata from Lobau Messstellen Database	12/02/2020					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				STYA1390	Andreas Fuchs Personal Data														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Raphael Veits	19		Kritzendorf Schachtbrunnen	48,3447621932623	16,2958730555787	<10km		AT		Precision Set close to Kritzendorf Schachtbrunnen Province: Niederösterreich Grundwaserkurs: Geodata from Lobau Messstellen Database	12/02/2020					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				STYA1391	Andreas Fuchs Personal Data														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Raphael Veits	19		Kritzendorf Schachtbrunnen	48,3447621932623	16,2958730555787	<10km		AT		Precision Set close to Kritzendorf Schachtbrunnen Province: Niederösterreich Grundwaserkurs: Geodata from Lobau Messstellen Database	16/02/2022					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							5				STYA1392	Andreas Fuchs Personal Data														
Groundwater Asellidae of Austria (C. Englisch,T. Gall-Andreici, C. Griebler, M. Hämmerle, C. Novotny, R. Veits)	Christoph Novotny	20		KRITZENWE - Kritzendorf - KGW	48,3399534555959	16,308092247879	<100m		AT		Precision Precise Province: Niederösterreich	2023					Aquatic, Freshwater, Subsurface, Aquifer	Well			Proasellus slavus 		Species	Asellidae	Proasellus	slavus							1				STYA1434	OnlineDatabase_WorldAsellidaeDatabase	Pslavus_KRITZENWE_202300_OQ538427_5|NCBI												GenBank_Accession_OQ538427(CO1)	
