"ID","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","acceptedNameUsage","namePublishedInYear","country","Locality","locationRemarks","habitat","decimalLongitude","decimalLatitude","geodeticDatum","Easting_EPSG3035","Northing_EPSG3035","Coord.Uncertainty","Coord.Validator","associatedReferences","PublicationYear","source","researchGroup"
5544,"Harpacticoida","Canthocamptidae","Morariinae","Moraria","Moraria","stankovitchi","NULL","Moraria (Moraria) stankovitchi","Chappuis, 1924","Moraria (Moraria) stankovitchi Chappuis, 1924","1924","Serbia","Prekonoška Peštera Cave, close to Svrilig town","unsaturated karst","Karst:saturated",22.102,43.38,"EPSG: 4326",5299491.428070307,2331530.1679417575,"0.1 km","Francesco Cerasoli","Chappuis P.A. (1924) Descriptions préliminaires de Copépodes nouveaux de Serbie. Bul. Soc. St. Cluj, 2: 27-45",1924,"Literature: F. Stoch","NULL"
5545,"Harpacticoida","Ameiridae","Ameirinae","Nitocrella","NULL","hirta","hirta","Nitocrella hirta hirta","Chappuis, 1924","Nitocrella hirta hirta Chappuis, 1924","1924","Serbia","Locality Senje, Department of Morava (Oriental Serbia); Cave Ravanicka pecina","karstic habitat (no better defined)","NULL",21.502,43.973,"EPSG: 4326",5241947.537715459,2389032.1835380103,"1 km","Francesco Cerasoli","Chappuis P.A. (1924) Descriptions préliminaires de Copépodes nouveaux de Serbie. Bul. Soc. St. Cluj, 2: 27-45",1924,"Literature: F. Stoch","NULL"
5546,"Harpacticoida","Ameiridae","Ameirinae","Nitocrella","NULL","hirta","hirta","Nitocrella hirta hirta","Chappuis, 1924","Nitocrella hirta hirta Chappuis, 1924","1924","Serbia","Commune of Stapari, Department of Užice (western Serbia); Cave Megara pecina","subterranean stream, karstic system","Karst:saturated",19.728,43.863,"EPSG: 4326",5102392.541066982,2356750.7324228482,"5 km","Francesco Cerasoli","Chappuis P.A. (1924) Descriptions préliminaires de Copépodes nouveaux de Serbie. Bul. Soc. St. Cluj, 2: 27-45",1924,"Literature: F. Stoch","NULL"
5547,"Harpacticoida","Ameiridae","Ameirinae","Nitocrella","NULL","hirta","hirta","Nitocrella hirta hirta","Chappuis, 1924","Nitocrella hirta hirta Chappuis, 1924","1924","Serbia","Cuprija (not far from the type locality: Ravanicka cave)","saturated porous?","Aquifer in unconsolidated sediments:saturated",21.431,43.943,"EPSG: 4326",5236791.271634267,2384864.138802409,"5 km","Francesco Cerasoli","Petkovski T.K. (1959) Neue und bemerkenswerte Harpacticoide ruderfusskrebse (Crust. Cop.) aus en grundenwasseren Jugoslaviens. Acta Mus. maced. sci. nat., Skopje, 6(5): 101-119",1959,"Literature: F. Stoch","NULL"
5078,"Cyclopoida","Cyclopidae","Cyclopinae","Reidcyclops","NULL","trajani","NULL","Reidcyclops trajani","(Reid & Strayer, 1994)","Reidcyclops trajani (Reid & Strayer, 1994)","1994","North Macedonia","Demir Kapija","well","NULL",22.24,41.406,"EPSG: 4326",5343574.557744967,2116915.796569625,"1 km","Mattia Di Cicco","Petkovski T.K. (1954) Beitrag zur Kenntnis der Jugoslavischen Cyclopiden. Acta Mus. maced. sci. nat., Skopje, 2(1): 1-31",1954,"Literature: F. Stoch","NULL"
5079,"Cyclopoida","Cyclopidae","Cyclopinae","Reidcyclops","NULL","trajani","NULL","Reidcyclops trajani","(Reid & Strayer, 1994)","Reidcyclops trajani (Reid & Strayer, 1994)","1994","North Macedonia","Oresani near Skopje","well","NULL",21.603,41.898,"EPSG: 4326",5283109.240285736,2162474.765579782,"1 km","Mattia Di Cicco","Karanovic T. (2000) On Reidcyclops, new genus (Crustacea, Copepoda) with the first description of the male of Reidcyclops trajani (Reid & Strayer, 1994), new combination. Beaufortia, 50(3): 79-87",2000,"Literature: F. Stoch","NULL"
5550,"Harpacticoida","Parastenocarididae","Parastenocaridinae","Parastenocaris","NULL","jeanneli","NULL","Parastenocaris jeanneli","Chappuis, 1924","Parastenocaris jeanneli Chappuis, 1924","1924","Serbia","Velika Pecina (= large cave), Zlatibor, Uzice department","Caves waters","NULL",19.847,43.703,"EPSG: 4326",5114081.739702342,2340380.6012102943,"0.1 km","Francesco Cerasoli","Chappuis P.A. (1924) Descriptions préliminaires de Copépodes nouveaux de Serbie. Bul. Soc. St. Cluj, 2: 27-45",1924,"Literature: F. Stoch","NULL"
5551,"Harpacticoida","Parastenocarididae","Parastenocaridinae","Parastenocaris","NULL","jeanneli","NULL","Parastenocaris jeanneli","Chappuis, 1924","Parastenocaris jeanneli Chappuis, 1924","1924","Serbia","Velika Pecina (= large cave), Zlatibor, Uzice department","Unsaturated karst","Karst:saturated",19.847,43.703,"EPSG: 4326",5114081.739702342,2340380.6012102943,"0.1 km","Francesco Cerasoli","Chappuis P.A. (1924) Descriptions préliminaires de Copépodes nouveaux de Serbie. Bul. Soc. St. Cluj, 2: 27-45",1924,"Literature: F. Stoch","NULL"
5080,"Harpacticoida","Canthocamptidae","Canthocamptinae","Spelaeocamptus","NULL","incertus","NULL","Spelaeocamptus incertus","Petkovski, 1956","Spelaeocamptus incertus Petkovski, 1956","1956","North Macedonia","Cave close to Lazaropole town, 41°32'10""N 20°41'38""E","caves, phreatic waters","Karst:saturated",20.693,41.536,"EPSG: 4326",5213502.882420484,2111546.1490024603,"3 km","Mattia Di Cicco","Petkovski T.K. (1956) Über einige Copepoden aus Höhlen- und Grundgewässern Jugoslaviens. Izdanija, Inst. Piscic. R.P. Maced., Skopje, 1(8): 185-208",1956,"Literature: F. Stoch","NULL"
5554,"Cyclopoida","Cyclopidae","Cyclopinae","Speocyclops","NULL","proserpinae","NULL","Speocyclops proserpinae","Kiefer, 1937","Speocyclops proserpinae Kiefer, 1937","1937","Serbia","Prekono�ka Pecina","cave","NULL",22.1022,43.3802,"EPSG: 4326",5299504.088992078,2331554.7257734016,"0.1 km","Emma Galmarini","Kiefer F. (1937) Über Systematik und geographische Verbreitung einiger Gruppen stark verkümmerter Cyclopiden (Crustacea Copepoda). Zool. Jahrb. Abt. f. Syst., 70(5/6): 421-442",1937,"Literature: F. Stoch","NULL"
