CollCode;AssBy;VerbLoc;LocID;Lat;Long;LatLongP;Country;CountryCod;IdenVer;Phylum;Class;Order;Family;Genus;Species;TaxRank;TaxStat;OccID;BasRec;RefBy
World Asellidae Database;Florian Malard;PUITS AU MOULIN A NEDELJANEC;NEDELJAN;46.28778;16.28333;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|NEDELJAN_197412;Literature;MALARD F
World Asellidae Database;Florian Malard;RIO NOGUERA RIBAGORZANA AREN;NOGUERA2;42.1993;0.7055;0.100;SPAIN;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|NOGUERA2_197609;Literature;MALARD F
World Asellidae Database;Florian Malard;WELL BELOW PARSKA GOLOBINA, PARJE (PIVKA);PARJEPT;45.66266;14.21758;0.100;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|PARJEPT_197105;Literature;MALARD F
World Asellidae Database;Florian Malard;SPRING PODTURNSCICA, DRAGATUS (CRNOMELJ);PODTURNS;45.5213;15.17763;0.100;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|PODTURNS_199011;Literature;MALARD F
World Asellidae Database;Florian Malard;POGANJACA, GREBCI, RAVNO;POGANJAC;42.73351;18.0832;0.100;BOSNIA AND HERZEGOVINA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|POGANJAC_197509;Literature;MALARD F
World Asellidae Database;Florian Malard;PONIKVA SINKHOLE CAVE, DABARSKO POLJE;PONIKVAC;43.05407;18.24079;0.001;BOSNIA AND HERZEGOVINA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|PONIKVAC_198807;Literature;MALARD F
World Asellidae Database;Florian Malard;SPRING, POTOCI, MOSTAR;POTOCISP;43.41068;17.87515;0.100;BOSNIA AND HERZEGOVINA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|POTOCISP_197007;Literature;MALARD F
World Asellidae Database;Florian Malard;SOURCE PRES DE PSATA;PSATASP;46.2597;14.50959;0.100;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|PSATASP_197105;Literature;MALARD F
World Asellidae Database;Florian Malard;PUITS, PUSCINE 197 (VARAZDIN);PUSCINE1;46.35186;16.36952;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|PUSCINE1_197412;Literature;MALARD F
World Asellidae Database;Florian Malard;PUITS, PUSCINE 215 (VARAZDIN);PUSCINE2;46.35186;16.36952;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|PUSCINE2_197412;Literature;MALARD F
World Asellidae Database;Florian Malard;PUITS, PUSCINE 241 (VARAZDIN);PUSCINE3;46.35186;16.36952;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|PUSCINE3_197412;Literature;MALARD F
World Asellidae Database;Florian Malard;PUITS, PUSCINE 208 (VARAZDIN-CAKOVEC);PUSCINE4;46.35186;16.36952;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|PUSCINE4_197412;Literature;MALARD F
World Asellidae Database;Florian Malard;KOPAN VODNJAK IN RAKOVAC;RAKOVAC;45.18767;19.77214;0.100;SERBIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|RAKOVAC_198209;Literature;MALARD F
World Asellidae Database;Florian Malard;RESNIK (POTOCEK);RESNIKRU;43.55391;16.36518;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|RESNIKRU_197311;Literature;MALARD F
World Asellidae Database;Florian Malard;SPRING RINZA IN SLOVENSKA VAS (KOCEVJE);RINZASP;45.66833;14.82611;0.100;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|RINZASP_199111;Literature;MALARD F
World Asellidae Database;Florian Malard;CAVE RUDNICA;RUDNICCA;45.21667;15.38333;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|RUDNICCA_197910;Literature;MALARD F
World Asellidae Database;Florian Malard;CAVE RUDNICA;RUDNICCA;45.21667;15.38333;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|RUDNICCA_198508;Literature;MALARD F
World Asellidae Database;Florian Malard;SPRING OF CAVE RUDNICA;RUDNICSP;45.21667;15.38333;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|RUDNICSP_197610;Literature;MALARD F
World Asellidae Database;Florian Malard;SPRING SANICE, ZAVOLJE, SANSKI MOST;SANICESP;44.60509;16.61616;0.001;BOSNIA AND HERZEGOVINA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|SANICESP_196911;Literature;MALARD F
World Asellidae Database;Florian Malard;SAVA RIVER IN KRANJ (BOU-ROUCH SAMPLING);SAVAKRAN;46.23921;14.35566;0.100;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|SAVAKRAN_196408;Literature;MALARD F
World Asellidae Database;Florian Malard;SAVA RIVER IN TOMACEVO (BOU-ROUCH SAMPLING);SAVATOMA;46.0804;14.53494;0.100;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|SAVATOMA_197808;Literature;MALARD F
World Asellidae Database;Florian Malard;SAVA RIVER IN TOMACEVO (BOU-ROUCH SAMPLING);SAVATOMA;46.0804;14.53494;0.100;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|SAVATOMA_198106;Literature;MALARD F
World Asellidae Database;Florian Malard;SAVA RIVER IN TOMACEVO (BOU-ROUCH SAMPLING);SAVATOMA;46.0804;14.53494;0.100;SLOVENIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|SAVATOMA_198306;Literature;MALARD F
World Asellidae Database;Florian Malard;SIPUN (CAVTAT);SIPUN;42.58103;18.21887;0.100;CROATIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|SIPUN_197007;Literature;MALARD F
World Asellidae Database;Florian Malard;SJENICA SERBIA;SJENICA;43.27528;20.00083;0.100;SERBIA;;Proasellus sp.;Arthropoda;Malacostraca;Isopoda;Asellidae;Proasellus;sp.;Genus;accepted;PROASELLUS_SP|SJENICA_197609;Literature;MALARD F
