code	year	verbatim	authors	journal	title
Henry_1975_Biologia_Gallo_Hellenica_6_1_139_144	1975	Henry J.-P. 1975. Donnees sur les Asellides de Grece et description de Proasellus sketi n. sp. (Crustacea, Isopoda, Asellota) Biologia Gallo-Hellenica, 6(1), 139-144.	Henry J.-P.	(Crustacea, Isopoda, Asellota) Biologia Gallo-Hellenica	Donnees sur les Asellides de Grece et description de Proasellus sketi n. sp
Henry_1974_Bull_Zool_Mus_Univ_Amsterdam_3_24_221_228	1974	Henry J.-P. 1974. Sur la presence d Aselles hypoges aux Pays-Bas : Proasellus cavaticus et Proasellus hermallensis (Crustacea, Isopoda, Asellota). Bulletin Zoologisch Museum Universiteit van Amsterdam, 3(24), 221-228.Bull. Zool. Mus. Univ. Amsterdam, 3, 221-228. 	Henry J.-P.	Amsterdam	Sur la presence d Aselles hypoges aux Pays-Bas : Proasellus cavaticus et Proasellus hermallensis (Crustacea, Isopoda, Asellota). Bulletin Zoologisch Museum Universiteit van , 3(24), 221-228.Bull. Zool. Mus. Univ. Amsterdam, 3, 221-228
Henry_1973_C_R_96_Congr_Nat_Soc_Sav_Toulouse_165_171	1973	Henry J.-P. 1973. Donnees recentes sur la faune hypogee d Asellides de France. C. R. 96eme Congr. Nat. Soc. Sav. Toulouse 1971, 165-171.	Henry J.-P.	Toulouse	Donnees recentes sur la faune hypogee d Asellides de France. C. R. 96eme Congr. Nat. Soc. Sav
Henry_1971_Sous_Le_Plancher_9_1_2_9	1971	Henry J.-P. 1971. Repartition et ecologie des aselles hypoges en France. Sous Le Plancher, 9(1), 2-9.	Henry J.-P.	Sous Le Plancher	Repartition et ecologie des aselles hypoges en France
Henry_1971_in_Ckmap_2006_database	1971	Henry 1971 cited in CKmap 2006 pubication	Henry	Henry 1971 cited in CKmap 2006 pubication	cited in CKmap 2006 pubication
Henry_1967_Spelunca_Mem_5_262_264	1967	Henry J.-P. 1967. Un nouvel exemple de colonisation du domaine souterrain par un aselle epige. Spelunca Memoires, 5, 262-264.	Henry J.-P.	Spelunca Memoires	Un nouvel exemple de colonisation du domaine souterrain par un aselle epige
Henry_1966_Int_J_Speleol_2_29_42	1966	Henry J.-P. 1966. Remarques sur l espece Asellus cavaticus Leydig (Crustace Isopode hypoge) et description d une sous espece nouvelle. International Journal of Speleology, 2, 29-42.	Henry J.-P.	International Journal of Speleology	Remarques sur l espece Asellus cavaticus Leydig (Crustace Isopode hypoge) et description d une sous espece nouvelle
Henry_1963_Ann_Speleol_18_1_99_106	1963	Henry J.-P. 1963. Premier Aselle cavernicole de Basse Provence: Asellus synaselloides n. sp. Annales de Speleologie, 18(1), 99-106.	Henry J.-P.	Annales de Speleologie	Premier Aselle cavernicole de Basse Provence: Asellus synaselloides n. sp
Hamon_2015_Scories_453_1_4	2015	Hamon B. 2015. Scories, Special Biospeleologie, 453 (Septembre-Octobre 2015), 1-4.	Hamon B.	Scories, Special Biospeleologie, 453 (Septembre-Octobre	
Hamon_2015_Scories_444_1_4	2015	Hamon B. 2015. La vie des stations de Niphargus: le point en fevrier 2015. Scories, Special Biospeleologie, 444 (Fevrier 2015), 1-4.	Hamon B.	Scories, Special Biospeleologie, 444 (Fevrier	La vie des stations de Niphargus: le point en fevrier 2015
Haine_1945_in_Henry_1976_PhD_Thesis_Dijon	1945	Haine 1945 cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota). PhD thesis, University of Dijon, Dijon, France.	Haine	PhD thesis, University of Dijon, Dijon, France	cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota)
Gregory_2009_FSC_Publications_Shrewsbury_UK_175_pp	2009	Gregory S. 2009. Woodlice and Waterlice (Isopoda: Oniscidea and Asellota) in Britain and Ireland. FSC Publications, Shrewsbury, UK, 175 pp.	Gregory S.	FSC Publications, Shrewsbury, UK	Woodlice and Waterlice (Isopoda: Oniscidea and Asellota) in Britain and Ireland. , 175 pp.
Graeter_1910_in_Henry_1976_PhD_Thesis_Dijon	1910	Graeter 1910 cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota). PhD thesis, University of Dijon, Dijon, France.	Graeter	PhD thesis, University of Dijon, Dijon, France	cited in Henry J.-P. 1976. Recherches sur les Asellidae hypoges de la lignee cavaticus (Crustacea, Isopoda, Asellota)
